state, lat, lon
 "Pennsylvania", 40.02646342, -76.32413841
 "Pennsylvania", 40.57156, -80.01735
 "Virginia", 38.2965581, -77.5168403
 "Michigan", 42.49029963, -83.14362198
 "Florida", 25.93104611, -80.13460699
 "Massachusetts", 42.21847052, -71.03362218
 "Tennessee", 36.5910818, -87.29057578
 "Illinois", 40.07293583, -88.2521955
 "Vermont", 44.44610575, -73.11008335
 "Illinois", 41.85160522, -87.61670405
 "Illinois", 41.85160522, -87.61670405
 "Florida", 25.70519148, -80.28632641
 "Illinois", 41.85160522, -87.61670405
 "Illinois", 41.9798489, -87.8619454
 "New York", 40.73682449, -73.08247683
 "Virginia", 38.031, -78.4823
 "Illinois", 41.89256616, -87.62480736
 "Illinois", 42.38160971, -88.0687606
 "Pennsylvania", 40.14017152, -74.9541378
 "Illinois", 42.03933323, -88.03473473
 "New York", 40.78679465, -73.97763963
 "Tennessee", 35.0460857, -89.82810257
 "New York", 40.7207559, -74.0007613
 "Illinois", 41.85160522, -87.61670405
 "Wisconsin", 44.48451215, -88.06238294
 "Massachusetts", 42.612437, -71.322676
 "Maine", 43.41464499, -70.74527202
 "Wisconsin", 43.7573, -87.7523
 "Connecticut", 41.54959196, -73.02604392
 "Florida", 28.37153428, -81.51829608
 "New York", 40.77492675, -73.98186371
 "Michigan", 42.24623, -84.74752
 "Tennessee", 35.84349185, -86.43854165
 "Virginia", 38.95744494, -77.4005468
 "Florida", 26.21705499, -81.77185392
 "Michigan", 42.44784477, -85.66799641
 "Michigan", 42.24623, -84.74752
 "Michigan", 42.24623, -84.74752
 "North Carolina", 35.91427, -78.92803
 "Illinois", 41.85131504, -87.61717358
 "New Jersey", 39.7601448, -74.82585346
 "New York", 40.77106579, -73.9567057
 "Massachusetts", 42.3475, -71.08416667
 "Massachusetts", 42.3578, -71.0617
 "Pennsylvania", 41.24035147, -77.00707912
 "Georgia", 33.98084074, -84.07841206
 "Tennessee", 36.16666667, -86.78333333
 "Tennessee", 35.84167683, -83.56810596
 "Ohio", 41.10126687, -80.77657147
 "Maryland", 39.2818226, -76.6864326
 "Florida", 30.18542833, -81.73609664
 "Michigan", 43.6009, -84.7749
 "Maine", 43.6315, -70.2727
 "Maine", 43.6315, -70.2727
 "Ohio", 40.55225928, -82.8443728
 "New Jersey", 40.6679768, -74.10600185
 "Wisconsin", 42.91304774, -87.9341197
 "New York", 40.7590491, -74.0024232
 "Illinois", 41.79739255, -88.45844854
 "Georgia", 31.21760259, -81.48888603
 "Georgia", 31.21760259, -81.48888603
 "New Jersey", 39.39160966, -74.55861501
 "North Carolina", 34.0386, -78.0526
 "Virginia", 38.4491951, -77.4612853
 "New Jersey", 39.93644437, -75.02820969
 "New Jersey", 39.93644437, -75.02820969
 "Ohio", 40.11504381, -83.00976561
 "Ohio", 40.11504381, -83.00976561
 "Pennsylvania", 39.9356241, -75.15876727
 "Pennsylvania", 39.9356241, -75.15876727
 "Virginia", 37.67284, -77.45447
 "Virginia", 37.67284, -77.45447
 "Illinois", 42.0449094, -88.0370728
 "Illinois", 42.0449094, -88.0370728
 "Michigan", 42.24623, -84.74752
 "Pennsylvania", 39.9601994, -75.1616064
 "North Carolina", 36.08630262, -79.80724739
 "Indiana", 39.92493753, -86.0259835
 "Georgia", 33.83147452, -84.49300505
 "New York", 40.75475949, -73.92390937
 "Kentucky", 37.08072243, -88.69073868
 "Michigan", 42.24623, -84.74752
 "New York", 41.3286, -73.8076
 "Illinois", 41.82969432, -87.61542991
 "New York", 40.7207559, -74.0007613
 "Illinois", 41.9296984, -87.70882582
 "Florida", 30.32646385, -81.64105027
 "Michigan", 42.24623, -84.74752
 "Kentucky", 36.7629, -83.6994
 "Michigan", 42.24623, -84.74752
 "Florida", 25.95563786, -80.1415354
 "Maine", 43.6315, -70.2727
 "Michigan", 42.24623, -84.74752
 "Michigan", 42.24623, -84.74752
 "Indiana", 40.4165638, -86.1143935
 "Massachusetts", 41.9080048, -71.3645325
 "Illinois", 41.8369, -87.6844
 "Indiana", 40.4165638, -86.1143935
 "Michigan", 42.24623, -84.74752
 "Michigan", 42.24623, -84.74752
 "Illinois", 41.92463998, -88.2701683
 "Florida", 24.556467, -81.803811
 "Pennsylvania", 40.08167, -75.11723
 "Pennsylvania", 40.08167, -75.11723
 "Florida", 27.2758, -80.355
 "Alabama", 33.23786159, -86.80027286
 "Florida", 28.5335, -81.3758
 "Florida", 28.542706, -81.372149
 "Maine", 43.6315, -70.2727
 "Florida", 26.26054649, -80.10105286
 "New York", 43.05184917, -77.4983452
 "Michigan", 42.24623, -84.74752
 "Michigan", 42.24623, -84.74752
 "Florida", 27.2758, -80.355
 "New York", 40.7779, -73.9675
 "Connecticut", 41.3091304, -72.9357677
 "Georgia", 33.7337641, -84.37204312
 "New York", 41.0676162, -73.703045
 "Florida", 26.20705812, -80.28590654
 "Florida", 27.2758, -80.355
